CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,2.4085371494293213,0.7641589641571045,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,2.3208577632904053,0.7480881214141846,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,2.411374807357788,0.9582903385162354,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,2.4349420070648193,0.8658251762390137,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,2.3261260986328125,0.6491689682006836,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,2.293329954147339,0.7551801204681396,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,2.346407175064087,0.652014970779419,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,2.298856019973755,0.6636018753051758,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,2.2957608699798584,0.6526432037353516,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,2.3022420406341553,0.6589570045471191,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
