CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.134145975112915,0.9548327922821045,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1.0597310066223145,0.7551589012145996,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,1.0470750331878662,0.7633469104766846,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,1.0368468761444092,0.7679941654205322,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,1.049062728881836,0.6491951942443848,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,1.0453441143035889,0.6719269752502441,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,1.0431571006774902,0.6657829284667969,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,1.0590009689331055,0.6638431549072266,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,1.0348749160766602,0.6778829097747803,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,1.0357887744903564,0.6596698760986328,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
