CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.0591230392456055,0.7669191360473633,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1.0601110458374023,0.7685599327087402,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,1.0312080383300781,0.6681530475616455,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,1.0143141746520996,0.6632218360900879,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,1.026304006576538,0.6633431911468506,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,1.024118185043335,0.6506941318511963,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,1.0303559303283691,0.6501040458679199,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,1.093653917312622,1.1881520748138428,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,1.0642240047454834,1.6184451580047607,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,1.0790939331054688,0.6654489040374756,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
