CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.0424833297729492,0.7501156330108643,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1.0495290756225586,0.6733231544494629,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,1.0317869186401367,0.6588988304138184,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,1.0361530780792236,0.7580220699310303,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,1.0772590637207031,0.6619198322296143,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,1.0433731079101562,0.6591548919677734,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,1.027066946029663,0.6656150817871094,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,1.0380611419677734,0.6530458927154541,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,1.0426182746887207,0.6725008487701416,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,1.0420560836791992,0.6658868789672852,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
