CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,14.141835927963257,1.2670950889587402,0.9975345312815275,-4.9272220605288695,-0.0433286360249407,-0.029624298784722558,-7.981844137087979e-06,-0.03680478443340007
1,14.820355892181396,1.2485570907592773,0.9947779558505119,-4.9650882695446725,-0.05096525765571922,-0.06166999237245891,-1.6536334954313156e-05,-0.03491173045532747
2,26.3726589679718,1.3554210662841797,0.9996958911807551,-1.2884391859483983,-0.03700461652689303,-0.0038172402039641498,-1.0111000188446947e-06,-0.03773202824064015
3,15.618595838546753,1.2554669380187988,0.9951187095569083,-4.948524415721479,-0.048457366328637216,-0.054619490328534824,-1.4739083607571173e-05,-0.03652546317466232
4,13.921334028244019,1.2503721714019775,0.9926802061253795,-4.965750126079932,-0.057937138523976695,-0.10706020332853153,-2.890622500099976e-05,-0.034249873920060736
5,10.837110042572021,1.1506989002227783,0.9954095176462479,-4.960125781944228,-0.04761205626295351,-0.05546753162843938,-1.4978007868656232e-05,-0.03619030469701556
6,13.375504732131958,1.3823611736297607,0.9956827607152625,-4.956841109608376,-0.048419499088713853,-0.055651238873328554,-1.5022284619127043e-05,-0.035747753298991825
7,13.808022022247314,1.2521369457244873,0.9976816474856932,-4.8846399037906,-0.041935333140072,-0.029121863687969932,-7.841771279325151e-06,-0.036783232584809866
8,12.916541814804077,1.253357172012329,0.9865407126912449,-4.953729951791011,-0.0701959914522056,-0.18215748263000692,-4.9195868935839595e-05,-0.03135337274831329
9,12.030783891677856,1.2491352558135986,0.9943077787635642,-4.964960510739672,-0.051419707139486084,-0.0795520188269891,-2.1482286332375272e-05,-0.03503948926032052
