CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,12.942405939102173,1.2447922229766846,0.9936123228365313,-1.0829507348847258,-0.009580288104657591,-0.0017936060795360348,-5.05660223550173e-07,-0.007159304004048295
1,12.353249073028564,1.3740899562835693,0.9941010599797975,-0.98356236379405,-0.010019527645010223,-0.0016307950800352525,-4.5887735004356196e-07,-0.007611047934361181
2,14.023931741714478,1.2574462890625,0.9897838532356337,-1.074438945601976,-0.01016469353879543,-0.002827996178414874,-7.988481078093991e-07,-0.00772102259237073
3,12.493001937866211,1.3483569622039795,0.9936479641891316,-1.0755344749693734,-0.009478839314227884,-0.001741133871464263,-4.909135239192239e-07,-0.007537677540724985
4,15.904299020767212,1.2677748203277588,0.9927481373236672,-0.9739601273977598,-0.011210897147149313,-0.002008607586863089,-5.641717903865244e-07,-0.007546203770594673
5,16.166089057922363,1.3610479831695557,0.9972831935246224,-0.3325184590899184,-0.009318555060153402,-0.0007253324427605684,-2.026951153825846e-07,-0.007739275537588242
6,14.993964195251465,1.2621381282806396,0.9726956401434752,-1.0768630038505123,-0.015509996640788108,-0.00734397415822737,-2.073057375564996e-06,-0.007266033711928799
7,13.580111026763916,1.4589970111846924,0.9983113763760112,-0.2502121140602185,-0.008822959502201168,-0.0004629152651796025,-1.2951509647220076e-07,-0.008138274941913437
8,12.336993217468262,1.2715656757354736,0.986537800323443,-1.0923809249010574,-0.011708067111946961,-0.003639055838097547,-1.026643600314942e-06,-0.007619075098943995
9,13.836029767990112,1.3464171886444092,0.9835213266068452,-1.074081642659003,-0.013322500850487652,-0.00461376271047086,-1.3015229051897414e-06,-0.007886006854398886
