CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,13.258188962936401,1.2550370693206787,0.5945545219159667,-1.6446116374699926,-0.2928786271190853,-0.199022430838926,-8.2816150079146e-05,-0.2081971121165367
1,13.684529066085815,1.2510201930999756,0.620143666947977,-1.640555834139775,-0.25663184669820294,-0.16639183003647978,-6.918308913310963e-05,-0.12821913343768898
2,13.002454042434692,1.4575469493865967,0.6137034683299902,-1.6322750709723195,-0.261222033759524,-0.16875600910361066,-7.024147070733409e-05,-0.14976601846445448
3,14.374483823776245,1.254478931427002,0.6231235386037263,-1.4861980794681955,-0.2614974104591303,-0.17859257555458588,-7.410684782500467e-05,-0.15059959645072496
4,15.476593971252441,1.2474050521850586,0.6381770247194068,-1.616051006129986,-0.2659272036966041,-0.16758175453181093,-6.965251372736634e-05,-0.19029057408816286
5,13.650393962860107,1.5843989849090576,0.6004356137316196,-1.6218730789546,-0.2501046927461811,-0.15386822562266406,-6.414919088861916e-05,-0.14306161358094016
6,20.26634192466736,1.491887092590332,0.6250456682784573,-1.5198797705394895,-0.26001737984674084,-0.1709355882180846,-7.105337788564572e-05,-0.1509825924498891
7,16.041271924972534,1.2479350566864014,0.6088985680929153,-1.6530222595079493,-0.26575636624176846,-0.18150585250511417,-7.54194260054953e-05,-0.1499737425351455
8,23.71618103981018,1.2617661952972412,0.605672789782463,-1.6340201702233514,-0.2756765157065581,-0.18498611262149167,-7.687280832267199e-05,-0.18016672683843282
9,15.598679065704346,1.2522869110107422,0.6316752032275883,-1.6413990866355945,-0.2505843220298905,-0.1631856267236459,-6.779422101643586e-05,-0.13283216886271987
