fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
5.6380369663238525,1.2576498985290527,0.9999919818769465,-0.7613999999995613,-0.003791658189402415,-0.0010065043336702645,-1.2471170532942853e-06,-0.0
5.104830980300903,1.3666980266571045,0.9999980801901037,-0.2639999999995766,-0.0025637474543484307,-0.00023371991853276427,-2.1453660400193103e-07,-0.0
4.790273189544678,1.2597529888153076,0.9999920858137611,-0.8057999999995431,-0.003997148676363563,-0.0010414690020346313,-1.2506010273515277e-06,-0.0
4.717389106750488,1.3482589721679688,0.9999952192502881,-0.4223999999995698,-0.003589613034804734,-0.0006020054175133605,-6.890003194384291e-07,-0.0
5.259747743606567,1.259207010269165,0.9999983943517826,-0.31680000000000774,-0.0024513238290989796,-0.00020122460285047924,-1.4940236918091834e-07,-0.0
4.573091745376587,1.2564542293548584,0.9999979587868028,-0.26399999999959434,-0.002567413442144472,-0.0002573714052942996,-2.2325778933371507e-07,-0.0
4.104187965393066,1.2650539875030518,0.9999968797830533,-0.2903999999995932,-0.0034515274950994465,-0.0004040604073304355,-4.4986558618398357e-07,-0.0
3.861182928085327,1.2496368885040283,0.999984296487922,-1.0824000000000424,-0.004153564154979811,-0.0019408333197545407,-1.159175996930777e-06,-0.0
4.266819953918457,1.2511370182037354,0.9999970758206599,-0.2904000000000053,-0.003479022403451692,-0.0003575320570257888,-2.2156597905816085e-07,-0.0
4.9135050773620605,1.348998785018921,0.9999918543977706,-0.4998000000005902,-0.00507861507146197,-0.0009909964154778497,-6.466272048634445e-07,-0.0
