,0,10,20,30,40,50,60,70,80,90,100
Accuracy,0.829512893982808,0.833810888252149,0.9613180515759312,0.9856733524355301,0.9856733524355301,0.9856733524355301,0.9856733524355301,0.9856733524355301,0.9856733524355301,1.0,1.0
Precision,0.8473087573554863,0.8504287868993752,0.961959023941068,0.9860724233983286,0.9860724233983286,0.9860724233983286,0.9860724233983286,0.9860724233983286,0.9860724233983286,1.0,1.0
Recall,0.829512893982808,0.833810888252149,0.9613180515759312,0.9856733524355301,0.9856733524355301,0.9856733524355301,0.9856733524355301,0.9856733524355301,0.9856733524355301,1.0,1.0
F1 score,0.8273006447481408,0.8318170110587669,0.9613046290307677,0.9856704112468794,0.9856704112468794,0.9856704112468794,0.9856704112468794,0.9856704112468794,0.9856704112468794,1.0,1.0
