CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,182.82819199562073,13.302561044692993,0.9997559785261103,0.9997559785261103,0.9997559785261103,0.9997559784934165,0.9997559785261103,0.9997559785261103,0.9997561570348695,0.9997559785261103
1,215.36608624458313,16.092695713043213,0.9995607613469986,0.9995607613469986,0.9995607613469986,0.9995607611563276,0.9995607613469986,0.9995607613469986,0.9995613393771019,0.9995607613469986
2,228.6000518798828,14.776425123214722,0.9991703269887751,0.9991703269887751,0.9991703269887751,0.9991703257037722,0.9991703269887751,0.9991703269887751,0.9991723869334502,0.9991703269887751
3,218.8853759765625,18.403947114944458,0.9996095656417765,0.9996095656417765,0.9996095656417765,0.9996095655078623,0.9996095656417765,0.9996095656417765,0.9996100224237106,0.9996095656417765
4,219.74593997001648,13.28886103630066,0.9997071742313324,0.9997071742313324,0.9997071742313324,0.9997071741748372,0.9997071742313324,0.9997071742313324,0.9997074312463429,0.9997071742313324
5,234.9402301311493,17.296000957489014,0.9994142627031776,0.9994142627031776,0.9994142627031776,0.9994142622510184,0.9994142627031776,0.9994142627031776,0.9994152901622569,0.9994142627031776
6,204.46870374679565,12.203541278839111,0.9999023771171963,0.9999023771171963,0.9999023771171963,0.9999023771151029,0.9999023771171963,0.9999023771171963,0.9999024056995071,0.9999023771171963
7,206.37667298316956,15.583474159240723,0.9994142627031776,0.9994142627031776,0.9994142627031776,0.9994142622510184,0.9994142627031776,0.9994142627031776,0.9994152901622569,0.9994142627031776
8,216.41493487358093,13.691832065582275,0.9993654512617758,0.9993654512617757,0.9993654512617758,0.9993654506868949,0.9993654512617758,0.9993654512617758,0.999366656922927,0.9993654512617757
9,229.88026595115662,14.54273009300232,0.9995606970273833,0.9995606970273831,0.9995606970273833,0.9995606968366285,0.9995606970273833,0.9995606970273833,0.9995612752266746,0.9995606970273831
