CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,2.97749400138855,1.6891810894012451,0.8678678678678678,0.8827081248962104,0.8678678678678678,0.8697122835388451,0.8678678678678678,0.8678678678678678,0.8795190713101161,0.8827081248962104
1,1.856443166732788,1.8865747451782227,0.8042168674698795,0.8122459240106298,0.8042168674698795,0.8023314695877399,0.8042168674698795,0.8042168674698795,0.828898346591005,0.8122459240106298
2,2.0040111541748047,1.6847820281982422,0.7560240963855421,0.7520864756158874,0.7560240963855421,0.7485404427900922,0.7560240963855421,0.7560240963855421,0.7962110988426777,0.7520864756158874
3,2.060873031616211,1.7839298248291016,0.8277945619335347,0.8236634824870119,0.8277945619335346,0.8248036327933236,0.8277945619335347,0.8277945619335347,0.8429905037823918,0.8236634824870119
4,2.0070180892944336,2.1944172382354736,0.8670694864048338,0.8771241830065359,0.8670694864048338,0.8671088079955075,0.8670694864048338,0.8670694864048338,0.878981413248178,0.8771241830065359
5,1.9364490509033203,1.6700971126556396,0.851963746223565,0.8401039048097871,0.8519637462235649,0.845293277165073,0.851963746223565,0.851963746223565,0.8596938775510203,0.8401039048097871
6,1.9288289546966553,1.6824712753295898,0.8761329305135952,0.8621166415284062,0.8761329305135952,0.8687671203561034,0.8761329305135952,0.8761329305135952,0.881671968893602,0.8621166415284062
7,1.906661033630371,1.669795036315918,0.8515151515151516,0.8511396011396011,0.8515151515151516,0.8486305435070013,0.8515151515151516,0.8515151515151516,0.8646130789638901,0.8511396011396011
8,1.9516479969024658,1.7974331378936768,0.8303030303030303,0.8322547822547822,0.8303030303030303,0.8288683940857854,0.8303030303030303,0.8303030303030303,0.8462593264771123,0.8322547822547822
9,2.209757089614868,1.7854008674621582,0.8696969696969697,0.8626373626373627,0.8696969696969697,0.8671201434112149,0.8696969696969697,0.8696969696969697,0.8785075547332717,0.8626373626373627
