CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.102773904800415,0.8740549087524414,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1.0738379955291748,0.6580169200897217,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,1.0333518981933594,0.6610071659088135,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,1.0961883068084717,0.7715778350830078,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,1.061434030532837,0.6559810638427734,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,1.0620920658111572,0.6576650142669678,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,1.0914368629455566,0.6470940113067627,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,1.065518856048584,0.6570711135864258,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,1.06337571144104,0.6701641082763672,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,1.0564229488372803,0.6576747894287109,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
