CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.043612003326416,0.7599940299987793,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1.072784185409546,0.7737700939178467,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,1.0516750812530518,0.6626548767089844,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,1.0594639778137207,0.645841121673584,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,1.057286024093628,0.6584131717681885,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,1.1018102169036865,0.8689398765563965,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,1.0409212112426758,0.6631839275360107,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,1.0436348915100098,0.6624951362609863,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,1.020359992980957,0.6634819507598877,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,1.0360651016235352,0.6674680709838867,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
