CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.098388910293579,0.8704261779785156,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,0.9972772598266602,0.6721038818359375,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,1.0605759620666504,0.6518120765686035,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,1.059847116470337,0.6626360416412354,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,1.080714225769043,0.7618367671966553,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,1.0583062171936035,0.6598019599914551,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,1.056818962097168,0.6591029167175293,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,1.0084588527679443,0.6639630794525146,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,1.0521080493927002,0.6626651287078857,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,1.20831298828125,0.654088020324707,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
