CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,0.7692313194274902,0.7573039531707764,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,0.7504119873046875,0.6617929935455322,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,0.7619037628173828,0.6615879535675049,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,0.8161180019378662,0.6582369804382324,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,0.7886760234832764,0.7425637245178223,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,0.8173010349273682,0.6601159572601318,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,0.8129770755767822,0.6627910137176514,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,0.7719531059265137,0.6585297584533691,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,0.7711100578308105,0.6583929061889648,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,0.7445738315582275,0.6572401523590088,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
