CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.1496930122375488,0.7619409561157227,0.929418433135202,-0.8433606179056632,-0.04780165274887501,-0.017743405277059553,-0.0005925872915347198,-0.0020339432870351004
1,1.6799249649047852,1.187359094619751,0.9444581783135318,-0.8317139323145124,-0.04923112711992885,-0.014452767583743113,-0.0004696423100076681,-0.005811356588386829
2,1.2153539657592773,0.756140947341919,0.8803614568542713,-0.8436752415363751,-0.06384986126668148,-0.02985487321425915,-0.0009982674813557833,-0.00259190596272596
3,1.1069450378417969,0.9781858921051025,0.9242761776008233,-0.8407325148173728,-0.04843161074364527,-0.019044824404528933,-0.0006306785340243638,-0.00280530471399576
4,1.095473051071167,0.6701040267944336,0.9258899993818935,-0.8694166896712394,-0.05057078447872834,-0.01863408406442439,-0.0006196389321365117,-0.007441879746896696
5,1.103869915008545,0.6647648811340332,0.818871655716243,-0.8557250720867735,-0.07738752831017279,-0.04556859306636106,-0.001538074194515456,-0.002879118498802846
6,1.1042490005493164,0.657379150390625,0.8778762829099434,-0.8414996754204607,-0.06313741439522447,-0.030367600017033418,-0.0010127387556550834,-0.001390822688534854
7,1.0982251167297363,0.6615979671478271,0.862505220380123,-0.852585360616037,-0.06426870511089341,-0.03422084434184699,-0.0011537286096629986,-0.0019982519638483964
8,1.0927350521087646,1.1301391124725342,0.8423582539356934,-0.8555944470332006,-0.06894141972746202,-0.03945684425381629,-0.0013334966554123257,-0.003714155159371124
9,1.1051242351531982,0.6583049297332764,0.8781157297786101,-0.8432691705921025,-0.06543157182525611,-0.03045677133533395,-0.0010245668023329216,-0.0073611676999743025
