CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,0.8328170776367188,0.7630889415740967,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,0.7914807796478271,0.6617262363433838,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,0.7440268993377686,0.6527328491210938,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,0.7419471740722656,0.7584519386291504,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,0.7574741840362549,0.7511768341064453,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,0.745398998260498,0.6552786827087402,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,0.7416620254516602,0.7674169540405273,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,0.7738690376281738,0.6586029529571533,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,0.7500460147857666,0.6524679660797119,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,0.7993412017822266,0.6581621170043945,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
