fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
1.0656039714813232,0.7551760673522949,0.9999048828968976,-1.7118999999987494,-0.030538181818529478,-0.023758558636332146,-8.419210294999739e-06,-1.3358203432289883e-12
1.0545032024383545,0.7522828578948975,0.9912668124175537,-19.799899999999717,-0.17676909090927326,-2.142244263727183,-0.0006309243504541256,-0.0
1.0711708068847656,0.6558651924133301,0.9960984742735046,-12.98459999999936,-0.12641045454575164,-0.9871278024089366,-0.00027437517839586437,-0.0
1.0876929759979248,0.6683659553527832,0.9995106925403229,-4.392800000000065,-0.05138636363668154,-0.1255552092726651,-5.461384138381949e-05,-1.3358203432289883e-12
1.0517680644989014,0.6591250896453857,0.9862150445387063,-18.54019999999963,-0.23373454545477618,-3.3999113898179663,-0.0008339746380851623,-1.3358203432289883e-12
1.0504729747772217,0.6515331268310547,0.999488955940773,-4.23130000000009,-0.05608454545488732,-0.12362986499998277,-6.664925132422705e-05,-0.0
1.078521966934204,0.6579699516296387,0.999653311362045,-2.325600000000037,-0.05711227272761525,-0.08604771386359823,-4.157806070852323e-05,-1.3358203432289883e-12
1.0799880027770996,0.6550190448760986,0.9974997357913674,-9.27010000000017,-0.11046894977190098,-0.6048271310044498,-0.0002325194435553422,-0.0
1.0436270236968994,0.6727960109710693,0.9752808941707142,-28.74699999999997,-0.26695433789988404,-6.199543596164503,-0.0020412526873111645,-0.0
1.1272788047790527,0.870598316192627,0.9987380182625025,-5.684800000000102,-0.09232785388153111,-0.32353423315063057,-0.00016568036664834466,-1.3358203432289883e-12
