valuation metrics,subject_2,subject_3,subject_4,subject_6,subject_7,subject_8,subject_9,subject_10,subject_11,subject_13,subject_14,subject_15,subject_16,subject_17
Accuracy,0.6713246554364471,0.917933130699088,0.867984934086629,0.9201541850220264,0.9579300074460164,0.9201091901728844,0.862889832072338,0.519159456118665,0.6548068283917341,0.822503671071953,0.87606450443921,0.8640390526125474,0.991918103448276,0.9063161609033168
Precision,0.704832300932109,0.9295342064641386,0.8953401103222994,0.9313619712483636,0.9597737929638954,0.9312396457470208,0.8928965639634286,0.2695265408774281,0.7943220993068358,0.8227948906076209,0.9009388820693686,0.8712245207488978,0.9920452661562574,0.9206687629114932
Recall,0.6713246554364471,0.917933130699088,0.867984934086629,0.9201541850220264,0.9579300074460164,0.9201091901728844,0.862889832072338,0.519159456118665,0.6548068283917341,0.822503671071953,0.87606450443921,0.8640390526125474,0.991918103448276,0.9063161609033168
F1 score,0.6557832358129462,0.9173975388034972,0.8654558149949744,0.9197843295189476,0.9578636510277629,0.9196798258540038,0.8606815630470335,0.3548364061348077,0.6049907993546844,0.8224933550557099,0.8743371454920246,0.863040063742968,0.9919168477897892,0.9051618356655484
