CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,1.0593531131744385,1.7070908546447754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0816359519958496,1.7101900577545166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0988037586212158,1.6952331066131592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.069870948791504,1.7013638019561768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.027824878692627,1.7102739810943604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.086280107498169,1.7109830379486084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0946500301361084,1.736706018447876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0794928073883057,1.7124509811401367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0689430236816406,1.7034518718719482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0911128520965576,1.712813138961792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
