CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,1.1157081127166748,1.7288718223571777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0901288986206055,1.6998820304870605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0480320453643799,1.6129817962646484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0605549812316895,1.7261011600494385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.5722639560699463,1.7234890460968018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0922491550445557,1.7157161235809326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0711033344268799,1.480982780456543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.056098222732544,1.6093418598175049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0871622562408447,1.3963687419891357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0722441673278809,1.716214895248413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
