CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,1.4018349647521973,2.736966848373413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.1574630737304688,1.709031105041504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0874919891357422,1.7017710208892822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0938291549682617,1.6084117889404297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.13277006149292,1.7093467712402344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0660040378570557,1.7251579761505127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.1163461208343506,1.6157498359680176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0805180072784424,1.5132009983062744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0692660808563232,1.727240800857544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0833768844604492,1.7058241367340088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
