CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,1.093778133392334,1.7205219268798828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.083186149597168,1.6992430686950684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0727779865264893,1.6921579837799072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.070708990097046,1.6964061260223389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0863957405090332,1.7124242782592773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.038978099822998,1.6252720355987549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.117966890335083,1.4865031242370605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0770432949066162,1.4211828708648682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0786168575286865,1.6053800582885742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.082974910736084,1.7293808460235596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
