CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,1.0804622173309326,1.7084317207336426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0902199745178223,1.739546775817871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0836129188537598,1.7288031578063965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.1121528148651123,1.7169711589813232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0918242931365967,1.717698097229004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0703091621398926,1.72222900390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0778608322143555,1.707880973815918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0716629028320312,1.6205840110778809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0697410106658936,1.6171808242797852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0994853973388672,1.814539909362793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
