CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,1.1085021495819092,1.724621057510376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0601940155029297,1.6962521076202393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.1049718856811523,1.7161791324615479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0770759582519531,1.7113680839538574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.065864086151123,1.7329869270324707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0754330158233643,1.7338371276855469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0861799716949463,1.7277910709381104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0861549377441406,1.704634189605713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0662281513214111,1.7189059257507324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.085542917251587,1.7345309257507324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
