,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Accuracy,0.7465677179962894,0.8582560296846011,0.9217068645640074,0.9517625231910948,0.9584415584415584,0.9606679035250464,0.953617810760668,0.9617810760667904,0.9788497217068646,0.9877551020408164,0.9888682745825604,0.9881261595547308,0.9896103896103896,0.989239332096475,0.9914656771799628,0.997773654916512,0.997773654916512,0.9981447124304268,0.9936920222634508,0.9944341372912802,0.995547309833024
Precision,0.7548573311250435,0.858716981632105,0.9268335617716321,0.9518010605763064,0.9591351026131142,0.9614748385255296,0.9536315719931844,0.9621750744941776,0.9789915227860932,0.9877553133536182,0.988872374281684,0.9881271237566464,0.9896145097466974,0.9892395511751244,0.9914872453003496,0.9977835865674419,0.9977835865674419,0.9981516145419208,0.9937527738031388,0.9944798292515756,0.9955743980081286
Recall,0.7465677179962894,0.8582560296846011,0.9217068645640074,0.9517625231910948,0.9584415584415584,0.9606679035250464,0.953617810760668,0.9617810760667904,0.9788497217068646,0.9877551020408164,0.9888682745825604,0.9881261595547308,0.9896103896103896,0.989239332096475,0.9914656771799628,0.997773654916512,0.997773654916512,0.9981447124304268,0.9936920222634508,0.9944341372912802,0.995547309833024
F1 score,0.7442703377089568,0.8581906112172192,0.921500384297909,0.9517629216832616,0.958431142792045,0.9606560738409065,0.9536182577917534,0.9617765608651916,0.9788493198422322,0.9877550716928558,0.9888681458315628,0.98812609742795,0.989610269442792,0.9892393054270552,0.9914654021957204,0.9977736751479204,0.9977736751479204,0.9981447277572996,0.9936916053219887,0.9944338383861449,0.9955471442894626
