fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0.7726421356201172,0.6759910583496094,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.7422358989715576,0.6626369953155518,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.7392959594726562,0.6533617973327637,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.8821060657501221,0.6503629684448242,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.810356855392456,0.6597561836242676,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.7466487884521484,0.6628751754760742,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.7871139049530029,0.7634491920471191,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.750067949295044,0.6584298610687256,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.7453920841217041,0.7566549777984619,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.7537860870361328,0.6502459049224854,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
