CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,8.365355014801025,2.481020927429199,0.96,0.9770299145299145,0.96,0.9448019957127277,0.96,0.96,0.9233511586452763,0.9770299145299145
1,7.902937173843384,2.718505859375,0.9525581395348838,0.9727564102564102,0.9525581395348838,0.9356503352777223,0.9525581395348838,0.9525581395348838,0.9128205128205128,0.9727564102564102
2,9.043962001800537,2.4823970794677734,0.9516279069767442,0.9722222222222222,0.9516279069767442,0.934526854219949,0.9516279069767442,0.9516279069767442,0.9115646258503401,0.9722222222222222
3,8.731122255325317,2.514167070388794,0.9302325581395349,0.9599358974358975,0.9302325581395349,0.909816603608745,0.9302325581395349,0.9302325581395349,0.8858447488584474,0.9599358974358975
4,8.783283948898315,2.4959609508514404,0.9478584729981379,0.9700854700854701,0.9478584729981379,0.9297591480565695,0.9478584729981379,0.9478584729981379,0.9061976549413736,0.9700854700854701
5,8.338199138641357,2.594416856765747,0.9385474860335196,0.9647435897435898,0.9385474860335196,0.9188874788494078,0.9385474860335196,0.9385474860335196,0.8947368421052632,0.9647435897435898
6,8.603945970535278,2.597008228302002,0.9599627560521415,0.9770299145299145,0.9599627560521415,0.9445387548503996,0.9599627560521415,0.9599627560521415,0.9229390681003583,0.9770299145299145
7,7.886300802230835,3.1521871089935303,0.946927374301676,0.969551282051282,0.946927374301676,0.9286534333056721,0.946927374301676,0.946927374301676,0.9049999999999999,0.969551282051282
8,8.737646102905273,2.917843818664551,0.9413407821229051,0.9663461538461539,0.9413407821229051,0.9221065612418847,0.9413407821229051,0.9413407821229051,0.8980582524271844,0.9663461538461539
9,7.457174777984619,3.064023017883301,0.9450651769087524,0.968482905982906,0.9450651769087524,0.926454658849437,0.9450651769087524,0.9450651769087524,0.9026402640264027,0.968482905982906
