CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,5.594125032424927,2.400653123855591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4.485489845275879,2.2350072860717773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4.966669082641602,2.0811991691589355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4.10881781578064,1.6831212043762207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,3.782109260559082,1.6822128295898438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4.041594743728638,1.7871062755584717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4.122963905334473,1.7782020568847656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4.465362787246704,3.155935049057007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5.570842027664185,2.5530221462249756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4.619237899780273,2.290243148803711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
