CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,5.105436086654663,2.4259438514709473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,5.845371961593628,2.409503936767578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5.025814056396484,2.0888290405273438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4.938693046569824,2.0895020961761475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4.941812992095947,1.9962151050567627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5.850511789321899,1.879112958908081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4.879256010055542,2.9518420696258545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,7.0277099609375,2.908068895339966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5.058984756469727,2.4364030361175537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,5.7891130447387695,2.003473997116089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
