fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
2.329212188720703,1.6741220951080322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.176074981689453,1.678091049194336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.217980146408081,1.6793529987335205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.181483030319214,1.7832920551300049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.2110209465026855,1.7724401950836182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.234873056411743,1.6833879947662354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.164921998977661,1.6699881553649902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.171243190765381,1.6734588146209717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.126498222351074,1.6648170948028564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.644861936569214,2.804131031036377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
