fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
3.903308868408203,1.927814245223999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.778040885925293,2.817394971847534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.778891086578369,2.0355639457702637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.9029500484466553,1.8295378684997559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.7743020057678223,1.733794927597046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.112649202346802,1.7180347442626953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.7582781314849854,2.055320978164673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.8009040355682373,1.8410701751708984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.746711015701294,1.7110819816589355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.824939727783203,1.9139151573181152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
