valuation metrics,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_9,subject_10,subject_12,subject_13,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22,subject_24,subject_25
Accuracy,0.26806439535754395,0.26386623164763456,0.1787899388171312,0.3778672032193159,0.3800332778702163,0.4103436543041851,0.5608577469042585,0.6596173212487412,0.4838416021847974,0.4840142095914742,0.2569755425421977,0.5169124024284475,0.22568242983467895,0.543980343980344,0.28481581311769993,0.1368006993006993,0.3069530808366309,0.4666106677866443,0.2422464375523889,0.3319209039548023
Precision,0.28837230409675185,0.3456331627120962,0.25643260797703943,0.38040673488403204,0.5508808783095905,0.34820360890093305,0.4714770950675052,0.5195500778220102,0.6097470210968091,0.5218057430620336,0.3543453762716253,0.6744336547134593,0.5150156157894571,0.4639043214088423,0.4548041185369731,0.173264997197924,0.2905044037045503,0.41978814402950704,0.4319405736868002,0.3319396450380705
Recall,0.26806439535754395,0.26386623164763456,0.1787899388171312,0.3778672032193159,0.3800332778702163,0.4103436543041851,0.5608577469042585,0.6596173212487412,0.4838416021847974,0.4840142095914742,0.2569755425421977,0.5169124024284475,0.22568242983467895,0.543980343980344,0.28481581311769993,0.1368006993006993,0.3069530808366309,0.4666106677866443,0.2422464375523889,0.3319209039548023
F1 score,0.27784776745088496,0.2992650067293328,0.19954317408035288,0.3779755398476747,0.3118421822557239,0.35534218534490203,0.498894178555965,0.5803957986362208,0.4868791849240535,0.5019609452879241,0.24161949630639595,0.4944948271891323,0.312973831155833,0.491167867914385,0.34249981729994294,0.15288871389947487,0.2983398899412789,0.4419627454445447,0.3104066482017689,0.23921851430709096
