CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,2.1727240085601807,1.6824150085449219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2.0345401763916016,1.6839287281036377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.053328037261963,1.6866400241851807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2.0588719844818115,1.6798851490020752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2.048048973083496,1.6848289966583252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2.0313029289245605,1.6911380290985107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2.088982105255127,1.6871140003204346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2.023332118988037,1.6838858127593994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2.082350015640259,1.6903460025787354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2.122511148452759,1.684607982635498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
