CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,2.219564914703369,1.734673023223877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2.2211849689483643,1.719322919845581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.086812973022461,1.7387349605560303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2.10127592086792,1.7271838188171387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2.08469820022583,1.714012861251831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2.099026918411255,1.7305219173431396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2.095571994781494,1.722320795059204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2.0808088779449463,1.721684217453003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2.105233907699585,1.7394471168518066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2.0779740810394287,1.7390358448028564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
