CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,2.2645280361175537,3.5275180339813232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2.1411261558532715,1.7252869606018066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.140256643295288,1.7316794395446777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2.124703884124756,1.7267138957977295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2.1458780765533447,1.713242769241333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2.1410229206085205,1.7223963737487793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2.1253697872161865,1.7087690830230713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2.1277308464050293,2.265120029449463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2.339735984802246,1.7205088138580322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2.145498275756836,1.7318840026855469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
