fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
1.1941769123077393,1.7122399806976318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1872797012329102,1.712630033493042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1824078559875488,1.7141351699829102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.2005541324615479,2.7134950160980225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.2213060855865479,1.7431349754333496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1680519580841064,1.730436086654663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1716423034667969,1.7143537998199463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.172973871231079,1.731353998184204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1640269756317139,1.7207670211791992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.186357021331787,1.7136449813842773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
