fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
1.1870918273925781,1.711524248123169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1867258548736572,1.7105112075805664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.240583896636963,1.7069141864776611,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1908471584320068,1.708867073059082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1941781044006348,1.7137048244476318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1917409896850586,1.7197999954223633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1801409721374512,1.8318321704864502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.2074899673461914,1.7011439800262451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1785290241241455,1.7031300067901611,0.9957983193277311,0.9967320261437909,0.9957983193277311,0.9954366791295177,0.9957983193277311,0.9957983193277311,0.9941860465116279,0.9967320261437909
1.188405990600586,1.7008168697357178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
