fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
1.287792682647705,1.7296340465545654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.2767140865325928,1.719573974609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.316514015197754,1.7133498191833496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.268779993057251,1.7224931716918945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.2626702785491943,1.7361857891082764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.2680246829986572,1.7209961414337158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.2772879600524902,1.7126011848449707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.2721660137176514,1.7189598083496094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.3072211742401123,1.7098979949951172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.2590339183807373,1.730757236480713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
