CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.7799077033996582,1.253974199295044,0.7427619572924767,-36.84878221724086,-5.883128344057127,-114.65754369899105,-0.04686723581738425,-2.2118675064301883
1,1.6249239444732666,1.2582590579986572,0.8042521374691322,-37.75059491448946,-4.910863806282007,-84.27177902694152,-0.036502776384351336,-2.2840184114037214
2,1.6956369876861572,1.5802950859069824,0.6968381101067767,-38.79060117419841,-6.429161891762362,-137.13046635278295,-0.0553034969201621,-2.050079999543236
3,2.6933250427246094,0.6350011825561523,0.7528642579742555,-35.75718303525584,-5.965748745982328,-107.94159795580516,-0.04645022530454644,-2.287917915784096
4,2.4740641117095947,1.703744649887085,0.7886536002903856,-37.06510882706357,-5.269553110159464,-92.48240126133655,-0.03763447674176591,-2.2120583680647137
5,1.4943220615386963,0.7406327724456787,0.7918573914131045,-36.81334085189373,-5.159184784922172,-91.65404342298793,-0.04065423727943999,-2.2744801061324083
6,1.42793607711792,0.8529951572418213,0.7965407637048956,-36.83260293524065,-5.07480252693232,-88.72879599664218,-0.03573533901892452,-2.3013294957555175
7,1.4559061527252197,0.647223949432373,0.7706654292105649,-36.18920638967016,-5.568521210070237,-97.83890261286791,-0.045827000460892844,-2.336669398897076
8,1.529634952545166,0.941288948059082,0.7879611098735528,-37.468073207211404,-5.4018251966994075,-95.92709202377921,-0.0403152960949456,-2.300403810243715
9,1.4852378368377686,0.8272511959075928,0.8058804733335557,-36.609704925865564,-4.998959017615621,-83.0543076748238,-0.035819675451594014,-2.194291253352091
