CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,2.3208518028259277,1.467379093170166,0.8046817748938644,-14.732860550590217,-2.065923995539606,-9.925454939500142,-0.002630042958372004,-1.623935926408592
1,2.6353490352630615,1.4524190425872803,0.8500889465695889,-11.412722313551903,-1.8346172655778352,-7.091517157309251,-0.0019135975444366845,-1.0558671503286519
2,2.460390090942383,1.248938798904419,0.8224975343291777,-11.506073862782927,-1.9246624037276345,-8.550937985307113,-0.0022494021220287605,-1.180091749854597
3,2.0383780002593994,1.2715680599212646,0.7873158603733497,-13.506012189431374,-2.0892013234896885,-10.100757817965382,-0.002625917923668763,-1.4129516331266245
4,2.49609112739563,1.2662830352783203,0.779028720783351,-12.512403307046583,-2.119925333069787,-10.982584002935926,-0.002788992267090056,-1.3835223908498193
5,4.713960886001587,1.2566900253295898,0.7931757779368698,-14.664434094283664,-1.914295730557036,-9.542274875396727,-0.00248957162801775,-1.0171554361684798
6,2.422250986099243,3.190070152282715,0.7695702275855372,-13.522606132051223,-2.206924471046944,-11.455850137065458,-0.0029945207706891437,-1.5280909127966709
7,2.8426308631896973,0.7303500175476074,0.7959592326719459,-13.654431522799456,-2.144058435865657,-10.531514684683046,-0.0028116637485428235,-1.5457140335869042
8,1.9045958518981934,1.2535419464111328,0.7370862961264242,-13.482299776949716,-2.3521528891863013,-13.138032554638256,-0.0035272937625733213,-1.5087554532344853
9,2.1599717140197754,1.2537763118743896,0.7527151468240277,-13.559244506149355,-2.1844832283865947,-11.711620873590617,-0.0031037611203037136,-1.3646010431141775
